,Año,Trimestre,Provincia,Tecnología,Accesos
118,2021,4,Tierra Del Fuego,ADSL,13317.0
119,2021,4,Tucumán,ADSL,97830.0
120,2021,3,Buenos Aires,ADSL,585729.0
121,2021,3,Capital Federal,ADSL,142902.0
122,2021,3,Catamarca,ADSL,18413.0
123,2021,3,Chaco,ADSL,38258.0
124,2021,3,Chubut,ADSL,49269.0
125,2021,3,Córdoba,ADSL,229275.0
126,2021,3,Corrientes,ADSL,44805.0
127,2021,3,Entre Ríos,ADSL,74443.0
128,2021,3,Formosa,ADSL,18093.0
129,2021,3,Jujuy,ADSL,23554.0
130,2021,3,La Pampa,ADSL,9015.0
131,2021,3,La Rioja,ADSL,11329.0
132,2021,3,Mendoza,ADSL,91474.0
133,2021,3,Misiones,ADSL,43230.0
134,2021,3,Neuquén,ADSL,29650.0
135,2021,3,Río Negro,ADSL,47934.0
136,2021,3,Salta,ADSL,49212.0
137,2021,3,San Juan,ADSL,40072.0
138,2021,3,San Luis,ADSL,8417.0
139,2021,3,Santa Cruz,ADSL,12347.0
140,2021,3,Santa Fe,ADSL,245929.0
141,2021,3,Santiago Del Estero,ADSL,19939.0
142,2021,3,Tierra Del Fuego,ADSL,12853.0
143,2021,3,Tucumán,ADSL,104489.0
144,2021,2,Buenos Aires,ADSL,603255.0
145,2021,2,Capital Federal,ADSL,148989.0
146,2021,2,Catamarca,ADSL,20305.0
147,2021,2,Chaco,ADSL,39826.0
148,2021,2,Chubut,ADSL,49271.0
149,2021,2,Córdoba,ADSL,239780.0
150,2021,2,Corrientes,ADSL,46648.0
151,2021,2,Entre Ríos,ADSL,77836.0
152,2021,2,Formosa,ADSL,19571.0
153,2021,2,Jujuy,ADSL,24738.0
154,2021,2,La Pampa,ADSL,9017.0
155,2021,2,La Rioja,ADSL,11627.0
156,2021,2,Mendoza,ADSL,91503.0
157,2021,2,Misiones,ADSL,44960.0
158,2021,2,Neuquén,ADSL,30083.0
159,2021,2,Río Negro,ADSL,48189.0
160,2021,2,Salta,ADSL,51396.0
161,2021,2,San Juan,ADSL,40072.0
