,Localidad,Departamento,Provincia,Latitud,Longitud,Estado
74,Arribeños,General Arenales,Buenos Aires,"-34,208346","-61,35876",Conectado
75,Arroyito,San Justo,Córdoba,"-31,415964","-63,044611",Conectado
76,Arroyito.,Confluencia,Neuquén,"-39,07191944","-68,56725278",Conectado
77,Arroyo Corto,Saavedra,Buenos Aires,"-37,51449676","-62,31076809",Conectado
78,Arroyo de La Cruz,Exhaltacion de la Cruz,Buenos Aires,"-34,34013645","-59,11324909",Conectado
79,Arroyo Dulce,Salto,Buenos Aires,"-34,09362778","-60,41030278",Conectado
80,Arroyo Seco,Rosario,Santa Fe,"-33,16727778","-60,52825",Conectado
81,Arrufo,San Cristobal,Santa Fe,"-30,23163889","-61,72727778",Conectado
82,Ataliva,Castellanos,Santa Fe,"-30,99839452","-61,43187315",Conectado
83,Ataliva Roca,Utracan,La Pampa,"-37,03036667","-64,29124722",Conectado
84,Avellaneda..,Ischilin,Córdoba,"-30,595061","-64,20645",Conectado
85,Averias,General Taboada,Santiago del Estero,"-28,74518333","-62,449725",Conectado
86,Avia Terai,Independencia,Chaco,"-26,686306","-60,729694",Conectado
87,Ayacucho,Ayacucho,Buenos Aires,"-37,14957222","-58,47072222",Conectado
88,Azcuenaga,San Andres de Giles,Buenos Aires,"-34,36307825","-59,37655399",Conectado
89,Azucena,San Andres de Giles,Buenos Aires,"-37,48694167","-59,293325",Conectado
90,Azul,Azul,Buenos Aires,"-36,76994444","-59,85005556",Conectado
91,Bahia Blanca,Bahia Blanca,Buenos Aires,"-38,75124167","-62,28297222",Conectado
92,Bahia Blanca.,Bahia Blanca,Buenos Aires,"-38,75124167","-62,28297222",Conectado
93,Baigorrita,General Viamonte,Buenos Aires,"-34,74771111","-60,98280833",Conectado
94,Bajada del Agrio,Picunches,Neuquén,"-38,40473333","-70,02648611",Conectado
95,Bajo Caracoles II,Rio Chico,Santa Cruz,"-47,44512222","-70,92744444",Conectado
96,Bajo Carrizal,Famatina,La Rioja,"-28,888795","-67,563648",Conectado
97,Balcarce,Balcarce,Buenos Aires,"-37,84979167","-58,24926111",Conectado
98,Ballesteros,Union,Córdoba,"-32,544244","-62,975397",Conectado
