,Año,Trimestre,Provincia,Rango_Velocidad,Accesos
97,2021,4,Capital Federal,HASTA 512 kbps,563.0
98,2021,4,Catamarca,HASTA 512 kbps,71.0
99,2021,4,Chaco,HASTA 512 kbps,461.0
100,2021,4,Chubut,HASTA 512 kbps,126.0
101,2021,4,Córdoba,HASTA 512 kbps,100.0
102,2021,4,Corrientes,HASTA 512 kbps,67.0
103,2021,4,Entre Ríos,HASTA 512 kbps,107.0
104,2021,4,Formosa,HASTA 512 kbps,84.0
105,2021,4,Jujuy,HASTA 512 kbps,58.0
106,2021,4,La Pampa,HASTA 512 kbps,301.0
107,2021,4,La Rioja,HASTA 512 kbps,18.0
108,2021,4,Mendoza,HASTA 512 kbps,156.0
109,2021,4,Misiones,HASTA 512 kbps,51.0
110,2021,4,Neuquén,HASTA 512 kbps,140.0
111,2021,4,Río Negro,HASTA 512 kbps,156.0
112,2021,4,Salta,HASTA 512 kbps,114.0
113,2021,4,San Juan,HASTA 512 kbps,44.0
114,2021,4,San Luis,HASTA 512 kbps,62.0
115,2021,4,Santa Cruz,HASTA 512 kbps,52.0
116,2021,4,Santa Fe,HASTA 512 kbps,467.0
117,2021,4,Santiago Del Estero,HASTA 512 kbps,178.0
118,2021,4,Tierra Del Fuego,HASTA 512 kbps,26.0
119,2021,4,Tucumán,HASTA 512 kbps,39.0
120,2021,3,Buenos Aires,HASTA 512 kbps,37193.0
121,2021,3,Capital Federal,HASTA 512 kbps,295.0
122,2021,3,Catamarca,HASTA 512 kbps,71.0
123,2021,3,Chaco,HASTA 512 kbps,301.0
124,2021,3,Chubut,HASTA 512 kbps,104.0
125,2021,3,Córdoba,HASTA 512 kbps,99.0
126,2021,3,Corrientes,HASTA 512 kbps,67.0
127,2021,3,Entre Ríos,HASTA 512 kbps,107.0
128,2021,3,Formosa,HASTA 512 kbps,381.0
129,2021,3,Jujuy,HASTA 512 kbps,48.0
130,2021,3,La Pampa,HASTA 512 kbps,298.0
131,2021,3,La Rioja,HASTA 512 kbps,18.0
132,2021,3,Mendoza,HASTA 512 kbps,36.0
133,2021,3,Misiones,HASTA 512 kbps,51.0
134,2021,3,Neuquén,HASTA 512 kbps,112.0
135,2021,3,Río Negro,HASTA 512 kbps,125.0
136,2021,3,Salta,HASTA 512 kbps,101.0
137,2021,3,San Juan,HASTA 512 kbps,18.0
138,2021,3,San Luis,HASTA 512 kbps,60.0
