,Año,Trimestre,Provincia,Tipo_Banda,Accesos
100,2021,4,Chubut,Banda ancha fija,159364.0
101,2021,4,Córdoba,Banda ancha fija,986693.0
102,2021,4,Corrientes,Banda ancha fija,135908.0
103,2021,4,Entre Ríos,Banda ancha fija,265024.0
104,2021,4,Formosa,Banda ancha fija,53663.0
105,2021,4,Jujuy,Banda ancha fija,113915.0
106,2021,4,La Pampa,Banda ancha fija,106834.0
107,2021,4,La Rioja,Banda ancha fija,83124.0
108,2021,4,Mendoza,Banda ancha fija,266783.0
109,2021,4,Misiones,Banda ancha fija,171132.0
110,2021,4,Neuquén,Banda ancha fija,146989.0
111,2021,4,Río Negro,Banda ancha fija,153189.0
112,2021,4,Salta,Banda ancha fija,199399.0
113,2021,4,San Juan,Banda ancha fija,79667.0
114,2021,4,San Luis,Banda ancha fija,118662.0
115,2021,4,Santa Cruz,Banda ancha fija,48276.0
116,2021,4,Santa Fe,Banda ancha fija,866265.0
117,2021,4,Santiago Del Estero,Banda ancha fija,115859.0
118,2021,4,Tierra Del Fuego,Banda ancha fija,52042.0
119,2021,4,Tucumán,Banda ancha fija,238609.0
120,2021,3,Buenos Aires,Banda ancha fija,4246425.0
121,2021,3,Capital Federal,Banda ancha fija,1411797.0
122,2021,3,Catamarca,Banda ancha fija,56253.0
123,2021,3,Chaco,Banda ancha fija,139868.0
124,2021,3,Chubut,Banda ancha fija,155266.0
125,2021,3,Córdoba,Banda ancha fija,946726.0
126,2021,3,Corrientes,Banda ancha fija,133816.0
127,2021,3,Entre Ríos,Banda ancha fija,260360.0
128,2021,3,Formosa,Banda ancha fija,52795.0
129,2021,3,Jujuy,Banda ancha fija,111158.0
130,2021,3,La Pampa,Banda ancha fija,100371.0
131,2021,3,La Rioja,Banda ancha fija,82157.0
132,2021,3,Mendoza,Banda ancha fija,255320.0
133,2021,3,Misiones,Banda ancha fija,158528.0
134,2021,3,Neuquén,Banda ancha fija,139436.0
135,2021,3,Río Negro,Banda ancha fija,144084.0
136,2021,3,Salta,Banda ancha fija,195831.0
137,2021,3,San Juan,Banda ancha fija,79227.0
138,2021,3,San Luis,Banda ancha fija,117716.0
139,2021,3,Santa Cruz,Banda ancha fija,48779.0
140,2021,3,Santa Fe,Banda ancha fija,841433.0
141,2021,3,Santiago Del Estero,Banda ancha fija,115457.0
142,2021,3,Tierra Del Fuego,Banda ancha fija,49934.0
143,2021,3,Tucumán,Banda ancha fija,232447.0
144,2021,2,Buenos Aires,Banda ancha fija,4127167.0
145,2021,2,Capital Federal,Banda ancha fija,1398747.0
146,2021,2,Catamarca,Banda ancha fija,55743.0
147,2021,2,Chaco,Banda ancha fija,140726.0
148,2021,2,Chubut,Banda ancha fija,138412.0
149,2021,2,Córdoba,Banda ancha fija,930818.0
150,2021,2,Corrientes,Banda ancha fija,129498.0
151,2021,2,Entre Ríos,Banda ancha fija,257617.0
152,2021,2,Formosa,Banda ancha fija,51551.0
153,2021,2,Jujuy,Banda ancha fija,111848.0
154,2021,2,La Pampa,Banda ancha fija,97551.0
155,2021,2,La Rioja,Banda ancha fija,81599.0
156,2021,2,Mendoza,Banda ancha fija,229052.0
157,2021,2,Misiones,Banda ancha fija,156176.0
158,2021,2,Neuquén,Banda ancha fija,137877.0
159,2021,2,Río Negro,Banda ancha fija,143583.0
160,2021,2,Salta,Banda ancha fija,191637.0
161,2021,2,San Juan,Banda ancha fija,78677.0
162,2021,2,San Luis,Banda ancha fija,122670.0
163,2021,2,Santa Cruz,Banda ancha fija,48785.0
164,2021,2,Santa Fe,Banda ancha fija,840449.0
165,2021,2,Santiago Del Estero,Banda ancha fija,114089.0
166,2021,2,Tierra Del Fuego,Banda ancha fija,35404.0
167,2021,2,Tucumán,Banda ancha fija,233026.0
168,2021,1,Buenos Aires,Banda ancha fija,4054936.0
169,2021,1,Capital Federal,Banda ancha fija,1378283.0
170,2021,1,Catamarca,Banda ancha fija,51967.0
171,2021,1,Chaco,Banda ancha fija,139767.0
172,2021,1,Chubut,Banda ancha fija,131515.0
173,2021,1,Córdoba,Banda ancha fija,910826.0
174,2021,1,Corrientes,Banda ancha fija,126622.0
