,Provincia,Localidad,Latitud,Longitud,Tecnología,Disponible
74,Catamarca,Hualfín,-27.2251089488391,-66.8257494663378,ADSL,0
75,Catamarca,Jacipunco,-27.2232502935304,-67.0189560597067,ADSL,0
76,Córdoba,Villa de las Rosas,-31.9484733205417,-65.0550181621034,ADSL,0
77,Córdoba,Villa Dolores,-31.9440434116077,-65.1961395608591,ADSL,1
78,Córdoba,Villa La Viña,-31.8727711509831,-65.0372746344972,ADSL,0
79,Córdoba,Alicia,-31.9387491680744,-62.4657945680095,ADSL,0
80,Córdoba,Altos de Chipión,-30.9563507625723,-62.3378881220879,ADSL,0
81,Córdoba,Arroyito,-31.4193908735633,-63.0503444103203,ADSL,1
82,Córdoba,Balnearia,-31.0107075696975,-62.6671044005114,ADSL,0
83,Córdoba,Brinkmann,-30.8665250177702,-62.0356522438995,ADSL,1
84,Córdoba,Colonia 10 de Julio,-30.5273759974763,-62.114218229406,ADSL,0
85,Córdoba,Colonia Anita,-31.1438629464364,-62.2135862922774,ADSL,0
86,Córdoba,Colonia Iturraspe,-31.2071433242951,-62.1099182033011,ADSL,0
87,Córdoba,Colonia Las Pichanas,-31.2454066292387,-62.9256664887207,ADSL,0
88,Entre Ríos,Caseros,-32.4642772562474,-58.4780718727049,ADSL,1
89,Entre Ríos,Colonia Elía,-32.6723717845853,-58.325119237234,ADSL,0
90,Entre Ríos,Concepción del Uruguay,-32.4853601673728,-58.2320517380782,ADSL,1
91,Entre Ríos,Estancia San Pedro,-32.2669,-58.6294,ADSL,0
92,Entre Ríos,Herrera,-32.434613979879,-58.6330137118779,ADSL,1
93,Entre Ríos,Las Moscas,-32.0926666859344,-58.9575923552082,ADSL,0
94,Entre Ríos,Líbaros,-32.2629479332194,-58.9066108120783,ADSL,0
95,Entre Ríos,Pronunciamiento,-32.3456507831337,-58.4438591145895,ADSL,0
96,Entre Ríos,Rocamora,-32.3459729612346,-58.9697454142681,ADSL,0
97,Entre Ríos,Santa Anita,-32.1762466320214,-58.7864822456477,ADSL,0
98,Entre Ríos,Villa Mantero,-32.3987091260597,-58.7440638984338,ADSL,1
99,Entre Ríos,Villa San Justo,-32.446319897702,-58.4359138343848,ADSL,0
100,Entre Ríos,Villa San Marcial (Est. Gobernador Urquiza),-32.1800624013874,-58.9301272035017,ADSL,0
101,Entre Ríos,Antelo,-32.5338102554011,-60.0356966118049,ADSL,0
102,Mendoza,El Vergel,-32.7623132216047,-68.6476011792189,ADSL,0
103,Mendoza,Ingeniero Gustavo André,-32.6824002043157,-68.3268969073829,ADSL,0
